IL2RA	MMP9	0.01555
IL2RA	RORC	0.015776
IL2RA	TBX21	0.015468
IL2RA	TGFB1	0.015544
IL2RA	TNFSF4	0.019996
IL2RA	TSLP	0.01538
IL3	IL4R	0.015224
IL3	RORC	0.015689
IL3	STAT6	0.015039
IL3	TGFB1	0.015893
IL33	IL4R	0.015205
IL33	IL9	0.015637
IL33	MMP9	0.016048
IL33	STAT6	0.015499
IL33	TBX21	0.016008
IL33	TGFB1	0.015878
IL33	TSLP	0.015272
IL3RA	IL5RA	0.017357
IL3RA	IL9	0.015898
IL3RA	KITLG	0.01597
IL3RA	STAT5A	0.015941
IL3RA	TSLP	0.015794
IL4	IL5RA	0.015254
IL4	MMP9	0.015443
IL4	RORC	0.015645
IL4	STAT5A	0.014989
IL4	TGFB1	0.015333
IL4R	IL5RA	0.015196
IL4R	KIT	0.015446
IL4R	MMP9	0.015293
IL4R	TBX21	0.015276
IL4R	TGFB1	0.015246
IL5	KIT	0.015367
IL5	MAF	0.015025
IL5	MMP9	0.015659
IL5	PDCD1	0.013769
IL5	PPARG	0.015562
IL5	RORC	0.015639
IL5	TGFB1	0.015478
IL5RA	KIT	0.017806
IL5RA	KITLG	0.016628
IL5RA	STAT5A	0.016056
IL5RA	TGFB1	0.016024
IL9	KIT	0.016307
IL9	MMP9	0.015605
IL9	RORC	0.015555
IL9	TBX21	0.015354
IL9	TGFB1	0.015786
KIT	MMP9	0.015739
KIT	TGFB1	0.016276
KIT	TSLP	0.016145
KITLG	MMP9	0.014847
KITLG	TSLP	0.015008
MAF	SATB1	0.020526
MAF	STAT6	0.015291
MAF	TBX21	0.01708
MMP9	RORC	0.017834
MMP9	STAT6	0.015481
MMP9	TBX21	0.016178
PPARG	STAT6	0.015412
PPARG	TBX21	0.016713
PPARG	TGFB1	0.016683
RNASE2	RNASE3	0.06736
RORC	STAT5A	0.016107
RORC	STAT6	0.015677
RORC	TGFB1	0.016794
SATB1	STAT6	0.015342
SATB1	TBX21	0.016044
STAT5A	TGFB1	0.015629
STAT6	TGFB1	0.015323
TBX21	TGFB1	0.016
TBX21	TSLP	0.015461
TGFB1	TSLP	0.015562
