IL21	IL33	0.014302
IL21	IL4R	0.013842
IL21	KITLG	0.013675
IL21	MMP9	0.013571
IL21	PDCD1	0.014438
IL21	STAT6	0.013954
IL21	TGFB1	0.014134
IL21	TNFRSF4	0.014605
IL25	IL3	0.013987
IL25	IL4R	0.013685
IL25	MAF	0.014124
IL25	STAT5A	0.014012
IL25	STAT6	0.013771
IL25	TGFB1	0.014017
IL25	TNFRSF4	0.014007
IL25	TNFSF4	0.014124
IL2RA	KIT	0.01402
IL2RA	KITLG	0.013706
IL2RA	MAF	0.014324
IL2RA	MMP9	0.013518
IL2RA	PDCD1	0.014054
IL2RA	RORC	0.014382
IL2RA	TBX21	0.014205
IL2RA	TGFB1	0.014076
IL2RA	TNFSF4	0.014765
IL2RA	TSLP	0.014175
IL3	IL4R	0.013818
IL3	MAF	0.014105
IL3	RORC	0.014225
IL3	STAT6	0.013781
IL3	TNFSF4	0.014168
IL33	IL4R	0.013794
IL33	IL9	0.01395
IL33	KITLG	0.013648
IL33	MMP9	0.013484
IL33	RNASE3	0.014009
IL33	STAT5A	0.014107
IL33	STAT6	0.01389
IL33	TBX21	0.014284
IL33	TGFB1	0.014125
IL3RA	IL5RA	0.01439
IL3RA	IL9	0.013916
IL3RA	TNFRSF4	0.01419
IL3RA	TSLP	0.01413
IL4	IL5RA	0.013976
IL4	MMP9	0.013384
IL4	RORC	0.014144
IL4R	KIT	0.013644
IL4R	RNASE3	0.013707
IL4R	TBX21	0.013877
IL4R	TGFB1	0.013757
IL4R	TNFRSF4	0.013853
IL5	KIT	0.013604
IL5	MAF	0.013994
IL5	MMP9	0.013234
IL5	PDCD1	0.013394
IL5	PPARG	0.013876
IL5	RORC	0.014033
IL5	TNFRSF4	0.013915
IL5	TNFSF4	0.013876
IL5RA	KIT	0.014239
IL5RA	KITLG	0.013834
IL5RA	RNASE3	0.014222
IL5RA	TGFB1	0.014115
IL9	KIT	0.013993
IL9	RNASE3	0.013734
IL9	RORC	0.014046
IL9	TBX21	0.013901
IL9	TGFB1	0.013848
KIT	MMP9	0.014
KIT	TGFB1	0.014132
KIT	TSLP	0.013917
KITLG	TBX21	0.013613
KITLG	TSLP	0.013668
MAF	PPARG	0.014319
MAF	RORC	0.015086
MAF	SATB1	0.015129
MAF	TGFB1	0.014216
MAF	TSLP	0.014263
MMP9	RORC	0.014141
MMP9	TBX21	0.013583
MRC1	RETNLB	0.11514
PDCD1	STAT6	0.013966
PDCD1	TGFB1	0.014068
PDCD1	TNFRSF4	0.016234
PDCD1	TNFSF4	0.016364
PPARG	RNASE3	0.013985
PPARG	STAT6	0.013861
PPARG	TBX21	0.014446
PPARG	TGFB1	0.014307
RNASE2	RNASE3	0.016595
RNASE3	STAT6	0.013687
RORC	STAT5A	0.014422
RORC	STAT6	0.014151
RORC	TGFB1	0.014443
SATB1	STAT6	0.013671
SATB1	TBX21	0.01425
STAT5A	STAT6	0.01383
STAT5A	TGFB1	0.014098
STAT6	TGFB1	0.013795
STAT6	TNFSF4	0.014083
STAT6	TSLP	0.013863
TBX21	TGFB1	0.01415
TBX21	TNFRSF4	0.014647
TBX21	TNFSF4	0.014623
TBX21	TSLP	0.01421
TGFB1	TSLP	0.014082
TNFRSF4	TSLP	0.014852
